salt,solvent,concentration_mol_per_l,temperature_C,conductivity_S_per_cm
LiPF6,DMC,1.54,48.4,0.9964
LiClO4,PC,1.23,58.4,0.8095
LiTFSI,DMC,1.0,55.6,0.7112
LiClO4,DEC,0.88,25.7,0.3667
LiTFSI,DMC,0.76,59.9,0.7575
LiTFSI,PC,1.87,26.6,0.9644
LiTFSI,DMC,1.68,32.8,0.8167
LiPF6,PC,1.93,62.3,1.4756
LiBF4,PC,0.34,55.5,0.5
LiClO4,DMC,1.49,69.4,0.8572
LiBF4,DMC,1.88,56.0,0.9819
LiClO4,EC,0.44,49.8,0.4854
LiTFSI,DEC,0.23,16.6,0.2972
LiPF6,PC,1.51,35.7,0.9739
LiBF4,EC,1.19,28.6,0.7342
LiPF6,DMC,1.7,27.1,0.9086
LiClO4,DEC,0.37,78.1,0.6136
LiPF6,EC,1.61,37.5,1.2582
LiPF6,PC,0.48,72.4,0.8694
LiBF4,EC,0.41,54.2,0.5673
LiTFSI,PC,0.41,65.6,0.7163
LiPF6,DMC,1.65,45.2,0.9944
LiTFSI,DEC,1.36,50.4,0.9826
LiClO4,DEC,1.09,44.5,0.593
LiPF6,DEC,0.78,23.7,0.5171
LiBF4,DMC,1.77,60.6,0.96
LiClO4,PC,0.85,29.7,0.4121
LiClO4,DMC,1.65,11.7,0.5003
LiBF4,DEC,0.93,55.2,0.7323
LiPF6,DMC,0.82,22.4,0.4809
LiPF6,DMC,0.98,75.8,0.9568
LiClO4,DMC,0.67,76.8,0.6326
LiPF6,PC,1.52,74.0,1.4037
LiTFSI,EC,1.06,35.9,0.8326
LiBF4,EC,0.54,11.1,0.3445
LiTFSI,DMC,1.81,75.0,1.1642
LiPF6,EC,0.83,40.0,0.7436
LiClO4,EC,1.13,77.7,0.9917
LiBF4,DMC,1.82,77.5,1.0678
LiPF6,DMC,1.29,69.7,1.0637
LiPF6,DEC,0.32,30.6,0.4526
LiClO4,EC,1.89,37.0,0.9397
LiClO4,PC,1.29,69.6,0.8591
LiTFSI,DMC,0.74,32.2,0.5761
LiBF4,DEC,0.36,21.9,0.2492
LiBF4,PC,1.61,49.0,0.9656
LiClO4,EC,1.28,75.5,0.9787
LiTFSI,DEC,1.11,58.7,0.8841
LiBF4,DMC,1.8,49.9,0.9443
LiClO4,PC,1.6,16.8,0.6259
LiPF6,DMC,0.39,53.1,0.6019
LiBF4,EC,0.69,79.3,0.9533
LiTFSI,PC,0.57,19.8,0.3765
LiTFSI,EC,1.51,46.3,1.0583
LiTFSI,EC,0.16,71.4,0.6677
LiPF6,DEC,1.18,61.9,0.9437
LiBF4,DMC,1.55,58.8,0.9381
LiBF4,PC,1.77,59.2,1.0235
LiPF6,EC,0.75,35.2,0.7156
LiBF4,EC,1.66,30.6,0.8973
LiPF6,PC,0.31,66.7,0.7532
LiPF6,EC,1.71,66.7,1.5629
LiPF6,DEC,0.34,70.7,0.782
LiTFSI,DEC,0.85,73.9,0.8684
LiBF4,DEC,1.61,45.8,0.8531
LiPF6,DEC,0.38,45.1,0.5569
LiBF4,EC,0.54,65.9,0.7331
LiTFSI,PC,1.47,55.5,1.11
LiPF6,PC,1.47,59.1,1.2158
LiClO4,PC,1.32,65.7,0.8529
LiTFSI,PC,1.42,72.3,1.1876
LiClO4,DMC,1.13,33.7,0.5378
LiBF4,PC,0.58,36.3,0.4766
LiBF4,DMC,0.76,16.6,0.3078
LiTFSI,DMC,0.45,50.5,0.5398
LiBF4,DEC,1.83,12.5,0.6852
LiClO4,DMC,1.21,42.6,0.5625
LiPF6,EC,0.86,48.0,0.9392
LiPF6,DMC,0.98,30.1,0.682
LiPF6,DEC,1.9,51.4,1.2449
LiTFSI,DMC,0.39,12.1,0.2389
LiBF4,EC,1.21,12.6,0.653
LiClO4,EC,1.06,67.6,0.8525
LiBF4,EC,1.26,35.2,0.8898
LiBF4,DEC,0.13,18.9,0.1919
LiBF4,DEC,1.76,46.6,0.8551
LiPF6,PC,1.87,63.9,1.4505
LiClO4,DEC,1.17,25.1,0.5088
LiClO4,EC,1.42,53.6,0.9174
LiBF4,EC,1.85,16.0,0.8947
LiPF6,DEC,1.44,13.6,0.7219
LiPF6,DMC,0.39,47.2,0.4846
LiClO4,DEC,1.19,47.8,0.6325
LiPF6,DEC,1.25,54.6,0.9594
LiPF6,EC,0.91,60.8,1.0342
LiPF6,PC,1.5,78.3,1.4063
LiTFSI,EC,1.88,46.1,1.3364
LiBF4,PC,1.86,32.6,0.9186
LiClO4,EC,0.96,65.7,0.7538
LiClO4,DEC,0.32,29.0,0.2807
LiTFSI,EC,1.97,40.7,1.3069
LiBF4,EC,1.69,15.5,0.7755
LiClO4,EC,0.34,11.8,0.1967
LiPF6,DEC,1.85,77.4,1.4447
LiClO4,DEC,1.75,68.5,0.905
LiPF6,DEC,1.09,58.7,0.9899
LiTFSI,DEC,1.22,38.6,0.7575
LiPF6,PC,0.86,22.1,0.6051
LiClO4,PC,0.2,21.0,0.167
LiClO4,DMC,0.74,27.5,0.349
LiClO4,DEC,1.63,48.4,0.7947
LiTFSI,PC,0.11,60.0,0.5156
LiTFSI,EC,0.73,56.2,0.9121
LiBF4,DEC,0.86,29.6,0.4801
LiClO4,DMC,1.12,76.8,0.7502
LiPF6,DMC,1.85,61.7,1.2705
LiTFSI,DMC,0.76,48.8,0.5739
LiClO4,EC,0.76,52.8,0.5741
LiClO4,PC,1.5,39.4,0.6725
LiTFSI,EC,0.96,27.3,0.7349
LiBF4,DEC,0.53,34.9,0.3989
LiTFSI,DMC,0.96,63.0,0.8916
LiTFSI,EC,0.37,11.0,0.2402
LiPF6,EC,0.44,18.1,0.4105
LiPF6,PC,1.05,13.2,0.6609
LiBF4,PC,0.9,12.9,0.4887
LiClO4,DMC,1.84,69.9,0.9643
LiTFSI,EC,0.79,59.3,0.9432
LiBF4,EC,1.2,43.2,0.8665
LiPF6,PC,1.3,16.8,0.7633
LiTFSI,EC,0.12,44.4,0.4887
LiClO4,EC,1.36,43.1,0.7587
LiPF6,EC,0.44,22.1,0.4003
LiPF6,PC,1.93,40.4,1.2317
LiPF6,DMC,0.38,37.9,0.4484
LiBF4,DEC,0.89,53.1,0.6483
LiClO4,DMC,0.26,54.5,0.3973
LiTFSI,DEC,1.99,13.2,0.8985
LiBF4,EC,1.05,36.2,0.7133
LiBF4,DMC,1.23,53.8,0.7853
LiBF4,DEC,0.23,45.2,0.3469
LiPF6,PC,1.52,70.0,1.3049
LiClO4,PC,0.5,56.1,0.4884
LiBF4,DMC,1.81,21.4,0.6565
LiTFSI,DMC,0.49,14.9,0.281
LiClO4,EC,0.46,55.0,0.5415
LiTFSI,DMC,0.17,11.9,0.201
LiClO4,EC,1.0,51.0,0.7291
LiTFSI,EC,1.17,75.8,1.1628
LiPF6,PC,0.22,50.3,0.635
LiBF4,PC,1.57,37.2,0.8768
LiTFSI,DEC,0.96,55.0,0.8104
LiClO4,PC,1.1,42.1,0.6045
LiBF4,PC,0.94,48.2,0.6509
LiBF4,DMC,0.86,75.9,0.7491
LiClO4,PC,1.16,37.0,0.633
LiTFSI,DEC,0.39,77.3,0.8125
LiPF6,DMC,0.45,73.4,0.8287
LiPF6,DEC,1.74,23.7,0.9202
LiTFSI,PC,1.9,14.9,0.8445
LiBF4,DEC,0.81,17.1,0.3962
LiBF4,DMC,0.61,11.3,0.2108
LiBF4,EC,1.32,16.6,0.6738
LiBF4,DEC,0.88,57.8,0.6873
LiTFSI,DEC,0.15,15.0,0.1542
LiBF4,DMC,0.4,32.3,0.2839
LiClO4,DMC,1.46,69.1,0.8104
LiBF4,DEC,1.35,11.6,0.52
LiPF6,PC,0.15,67.0,0.618
LiBF4,DEC,0.52,29.7,0.2813
LiTFSI,DMC,0.54,18.3,0.325
LiPF6,EC,1.38,58.8,1.3663
LiTFSI,EC,0.14,54.0,0.624
LiTFSI,PC,0.3,71.4,0.6815
LiPF6,DEC,1.62,61.5,1.1853
LiTFSI,EC,0.44,66.2,0.8153
LiTFSI,DEC,1.34,29.7,0.7019
LiBF4,DMC,0.55,22.4,0.3292
LiClO4,EC,0.29,62.5,0.5661
LiTFSI,PC,0.56,66.5,0.815
LiTFSI,DMC,1.47,79.3,1.0968
LiTFSI,PC,1.73,38.9,1.0074
LiBF4,DMC,1.68,36.0,0.7402
LiClO4,EC,0.85,64.3,0.719
LiPF6,PC,1.37,33.9,0.911
LiBF4,PC,0.49,75.2,0.7307
LiBF4,DMC,0.66,70.1,0.689
LiClO4,PC,1.8,40.0,0.7939
LiClO4,DMC,0.12,62.6,0.4257
LiBF4,DMC,0.26,62.8,0.4766
LiPF6,DMC,0.49,17.2,0.3329
LiBF4,DMC,0.15,73.2,0.4924
LiClO4,EC,0.44,45.4,0.3867
LiPF6,DMC,1.21,67.9,1.0622
LiClO4,DEC,0.9,32.4,0.4825
LiPF6,PC,1.8,72.7,1.4515
LiTFSI,DEC,1.65,37.2,0.9186
LiClO4,EC,0.75,10.8,0.3559
LiClO4,DEC,0.59,73.4,0.5656
LiBF4,PC,0.82,16.4,0.3942
LiClO4,DEC,1.22,32.4,0.5791
LiClO4,EC,0.61,76.5,0.7051
LiTFSI,DMC,1.29,76.5,1.0261
LiClO4,DEC,0.88,50.1,0.5198
LiTFSI,EC,1.15,54.2,1.0265
LiTFSI,EC,0.93,41.4,0.7894
LiTFSI,PC,0.66,30.5,0.4491
LiTFSI,PC,1.9,33.0,1.084
LiPF6,DEC,1.55,57.1,1.1127
LiBF4,DMC,0.37,62.7,0.4935
LiPF6,EC,1.75,65.4,1.5391
LiClO4,DEC,1.03,65.3,0.729
LiPF6,EC,1.8,16.4,1.0131
LiPF6,EC,1.62,44.6,1.2592
LiClO4,DMC,0.91,14.0,0.3454
LiClO4,DMC,0.14,48.5,0.33
LiClO4,DEC,0.61,40.9,0.4301
LiPF6,DMC,1.13,72.1,1.0144
LiPF6,DMC,1.3,34.6,0.7634
LiClO4,DEC,0.59,18.2,0.2863
LiBF4,DMC,0.36,20.0,0.209
LiBF4,PC,1.69,63.3,0.959
LiTFSI,EC,1.97,53.3,1.3856
LiClO4,EC,1.1,17.1,0.5362
LiTFSI,EC,0.43,15.9,0.2302
LiBF4,EC,0.62,59.1,0.6802
LiTFSI,DEC,0.13,15.1,0.1889
LiClO4,EC,1.84,67.5,1.1887
LiClO4,EC,0.32,59.4,0.5288
LiClO4,EC,1.2,15.7,0.5044
LiPF6,EC,0.62,15.9,0.4602
LiTFSI,PC,1.15,79.1,1.1619
LiBF4,EC,1.34,36.2,0.7998
LiBF4,PC,1.68,35.9,0.8348
LiBF4,DEC,0.49,66.9,0.6051
LiPF6,DMC,0.12,76.3,0.6203
LiPF6,EC,0.36,79.0,0.9763
LiClO4,DMC,1.81,62.7,0.9036
LiBF4,DMC,1.76,36.3,0.8061
LiPF6,DEC,1.24,15.8,0.651
LiClO4,DMC,1.24,64.4,0.6997
LiBF4,PC,1.36,49.1,0.7868
LiTFSI,DMC,0.43,39.7,0.4724
LiClO4,DMC,1.84,73.4,0.9243
LiPF6,DMC,0.9,17.8,0.4951
LiPF6,EC,0.83,44.5,1.0195
LiClO4,EC,1.09,10.8,0.4675
LiClO4,PC,0.19,42.8,0.3058
LiPF6,PC,0.42,13.9,0.2953
LiTFSI,EC,1.5,18.3,0.8915
LiBF4,PC,0.26,18.2,0.2289
LiTFSI,EC,1.25,55.4,0.9968
LiClO4,DEC,0.57,62.2,0.5671
LiTFSI,DMC,0.84,50.8,0.6444
LiPF6,DMC,0.65,77.4,0.9537
LiClO4,PC,0.78,36.2,0.508
LiBF4,EC,1.47,30.0,0.8101
LiPF6,EC,0.66,70.8,1.1021
LiPF6,PC,1.18,25.7,0.7649
LiBF4,EC,1.0,77.4,1.0535
LiBF4,DEC,1.36,10.9,0.5527
LiTFSI,DMC,1.88,77.9,1.2072
LiClO4,PC,1.49,13.0,0.5311
LiBF4,PC,0.51,72.4,0.7418
LiBF4,EC,0.16,46.9,0.4261
LiClO4,PC,0.6,79.5,0.6772
LiBF4,DEC,1.23,15.2,0.4889
LiBF4,EC,0.2,48.8,0.4871
LiTFSI,EC,1.04,77.9,1.2615
LiPF6,EC,1.23,46.6,1.0278
LiPF6,EC,0.74,54.1,0.9118
LiPF6,DEC,1.56,58.7,1.222
LiPF6,EC,0.3,41.8,0.5642
LiBF4,PC,0.24,53.9,0.491
LiClO4,DEC,1.48,50.9,0.7116
LiClO4,DMC,1.04,73.1,0.7124
LiTFSI,DMC,1.41,13.2,0.5958
LiTFSI,PC,0.93,29.7,0.6569
LiBF4,PC,0.57,76.5,0.799
LiClO4,DEC,1.66,72.3,1.0012
LiClO4,DMC,1.62,41.9,0.7044
LiPF6,DMC,1.42,53.4,1.0083
LiBF4,DMC,0.62,29.4,0.3929
LiBF4,DMC,1.22,23.2,0.5274
LiPF6,DMC,0.79,42.5,0.6692
LiBF4,EC,0.27,34.7,0.3741
LiBF4,PC,1.84,50.9,1.0346
LiTFSI,EC,0.36,15.4,0.3603
LiClO4,DMC,1.91,78.2,0.9446
LiBF4,DEC,0.95,79.0,0.8992
